METADATA:
Experiment Seed,Subject
1917394,Enter Name Here
Time after setup,1.6354385999729857
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
ESQ,98.8035195999546,,Absorption_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,99.96601499989629,,Absorption_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-c4
ESQ,99.97101669991389,,Distracting_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,101.11561229999643,,Distracting_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
ESQ,101.12017899996135,,Intrusive_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,102.18152319989167,,Intrusive_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-c4
ESQ,102.18526810000185,,Words_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,103.31507009989582,,Words_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
ESQ,103.31869519990869,,Sounds_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,104.4493736999575,,Sounds_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
ESQ,104.45265699992888,,Self_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,105.56573059991933,,Self_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-c4
ESQ,105.5704663998913,,Future_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,106.69840429991018,,Future_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-c4
ESQ,106.70190519990865,,Knowledge_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,107.81559859996196,,Knowledge_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
ESQ,107.81963459996041,,Deliberate_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,108.96526929992251,,Deliberate_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-c4
Movie prompt 1 c4.mp4,108.9975474999519,,,,Movie Task,1,Enter Name Here,,0,
ESQ,221.35721249994822,,Images_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,222.93039209989365,,Images_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-c4
ESQ,222.93318219995126,,Emotion_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,224.13050939992536,,Emotion_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
ESQ,224.13423129997682,,Words_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,225.19687859993428,,Words_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-c4
ESQ,225.19880489993375,,Self_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,226.3302565999329,,Self_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
ESQ,226.33408669999335,,Focus_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,227.53003779996652,,Focus_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-c4
ESQ,227.5334762999555,,Future_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,228.73069619992748,,Future_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-c4
ESQ,228.7338160999352,,Past_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,229.76349729998037,,Past_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-c4
ESQ,229.76656169991475,,Absorption_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,231.19594239990693,,Absorption_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-c4
ESQ,231.19998659996781,,Knowledge_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,232.28106379997917,,Knowledge_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-c4
ESQ,232.28408229991328,,Other_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,233.479717399925,,Other_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-c4
ESQ,233.4831765999552,,Sounds_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,234.54743659996893,,Sounds_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-c4
ESQ,234.55051749991253,,Detailed_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,235.64638729998842,,Detailed_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-c4
ESQ,235.64954409992788,,Problem_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,237.28018409991637,,Problem_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-c4
ESQ,237.28281149989925,,Deliberate_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,238.5627353999298,,Deliberate_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
ESQ,238.56548299989663,,Intrusive_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,240.04794079996645,,Intrusive_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-c4
ESQ,240.05198809993453,,Distracting_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,241.57970329991076,,Distracting_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
Movie prompt 2 c4.mp4,241.61237759992946,,,,Movie Task,1,Enter Name Here,,0,
ESQ,369.88735019997694,,Sounds_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,372.7109030999709,,Sounds_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
ESQ,372.71387599990703,,Distracting_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,373.76099489990156,,Distracting_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
ESQ,373.7628410999896,,Words_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,374.9778420999646,,Words_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-c4
ESQ,374.980975799961,,Knowledge_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,376.0944582999218,,Knowledge_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-c4
ESQ,376.0968901999295,,Problem_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,377.4108265999239,,Problem_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-c4
ESQ,377.41328819992486,,Detailed_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,378.47785229992587,,Detailed_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-c4
ESQ,378.4813024000032,,Images_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,379.6944731998956,,Images_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-c4
ESQ,379.69693229999393,,Future_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,380.9613560999278,,Future_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
ESQ,380.97166749997996,,Focus_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,382.14322399999946,,Focus_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-c4
ESQ,382.14663509989623,,Self_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,383.2606434999034,,Self_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
ESQ,383.26388669991866,,Past_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,384.46028979995754,,Past_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
ESQ,384.4629498999566,,Emotion_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,388.3434316999046,,Emotion_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-c4
ESQ,388.3459441999439,,Absorption_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,389.5443412999157,,Absorption_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-c4
ESQ,389.5463523999788,,Other_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,390.64418229996227,,Other_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-c4
ESQ,390.64680609991774,,Intrusive_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,391.87761329999194,,Intrusive_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
ESQ,391.8790375998942,,Deliberate_start,,Movie Task,1,Enter Name Here,,,Movie Task-c4
ESQ,393.0774676000001,,Deliberate_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-c4
Movie prompt 3 c4.mp4,393.1099511999637,,,,Movie Task,1,Enter Name Here,,0,
